"backend_name","op_name","op_params","test_mode","supported","error_message","backend_reg_name"
"SYCL0","MUL_MAT","type_a=q5_1","type_b=f32","m=16","n=1","k=256"
"SYCL0","COS","type=f16","ne=[10","2","2","2]"
"SYCL0","UPSCALE","type=f32","ne=[512","512","3","2]"
"SYCL0","NORM","type=f32","ne=[64","5","4","3]"
"SYCL0","GET_ROWS","type=q2_K","n=256","m=5","r=4","b=7"
"SYCL0","STEP","type=f16","ne_a=[5","7","11","13]"
"SYCL0","ABS","type=f16","ne_a=[128","2","2","2]"
"SYCL0","MUL_MAT","type_a=q4_1","type_b=f32","m=16","n=1","k=256"
"SYCL0","MUL_MAT","type_a=q5_1","type_b=f32","m=16","n=1","k=32"
"SYCL0","SET_ROWS","type=q2_K","ne=[256","11","1","7]"
"SYCL0","SET_ROWS","type=q2_K","ne=[256","5","1","3]"
"SYCL0","SET_ROWS","type=iq3_xxs","ne=[256","11","1","1]"
"SYCL0","STEP","type=f16","ne_a=[128","2","2","2]"
"SYCL0","MUL_MAT_ID","type_a=f32","type_b=f32","n_mats=4","n_used=1","b=0"
"SYCL0","REGLU","type=f32","ne_a=[5","7","11","13]"
"SYCL0","MUL_MAT_ID","type_a=f32","type_b=f32","n_mats=4","n_used=1","b=1"
"SYCL0","SET_ROWS","type=iq2_s","ne=[256","11","1","1]"
"SYCL0","RMS_NORM_MUL_ADD","type=f32","ne=[64","5","4","3]"
"SYCL0","DIAG_MASK_INF","type=f32","ne=[10","10","1","1]"
"SYCL0","STEP","type=f32","ne_a=[5","7","11","13]"
"SYCL0","OUT_PROD","type_a=q4_1","type_b=f32","m=256","n=1","k=16"
"SYCL0","OUT_PROD","type_a=f16","type_b=f32","m=256","n=1","k=16"
"SYCL0","SET_ROWS","type=q4_K","ne=[256","11","1","1]"
"SYCL0","CONV_TRANSPOSE_1D","ne_input=[13","1","1","1]","ne_kernel=[1"
"SYCL0","CONV_TRANSPOSE_1D","ne_input=[13","1","1","1]","ne_kernel=[3"
"SYCL0","GEGLU","type=f16","ne_a=[5","7","11","13]"
"SYCL0","CONV_TRANSPOSE_1D","ne_input=[2","1","1","1]","ne_kernel=[1337"
"SYCL0","MUL","type=f16","ne=[1","1","320","320]"
"SYCL0","DUP","type=i16","ne=[10","10","20","1]"
"SYCL0","ADD","type=f32","ne=[1","1","320","320]"
"SYCL0","SET_ROWS","type=q6_K","ne=[256","11","1","7]"
"SYCL0","SET_ROWS","type=q6_K","ne=[256","5","1","3]"
"SYCL0","SILU","type=f16","ne_a=[128","2","2","2]"
"SYCL0","EXP","type=f16","ne_a=[5","7","11","13]"
"SYCL0","GET_ROWS_BACK","type=q2_K","n=256","m=5","r=4","b=1"
"SYCL0","GET_ROWS_BACK","type=i32","n=256","m=5","r=4","b=1"
"SYCL0","RWKV_WKV7","type=f32","head_count=32","head_size=64","n_seq_tokens=1","n_seqs=1"
"SYCL0","OUT_PROD","type_a=q8_0","type_b=f32","m=256","n=1","k=16"
"SYCL0","RWKV_WKV7","type=f32","head_count=32","head_size=64","n_seq_tokens=32","n_seqs=4"
"SYCL0","CONT","type=bf16","ne=[2","1","3","5]"
"SYCL0","CONT","type=bf16","ne=[2","1","1","1]"
"SYCL0","SET_ROWS","type=f32","ne=[256","11","1","7]"
"SYCL0","SET_ROWS","type=f32","ne=[1","8","1","3]"
"SYCL0","CPY","type_src=iq2_xs","type_dst=iq2_xs","ne=[256","2","3"
"SYCL0","CPY","type_src=iq2_xs","type_dst=f32","ne=[256","4","4"
"SYCL0","EXP","type=f32","ne_a=[5","7","11","13]"
"SYCL0","MUL_MAT","type_a=f16","type_b=f32","m=16","n=1","k=256"
"SYCL0","CLAMP","type=f32","ne=[10","5","4","3]"
"SYCL0","CONV_TRANSPOSE_1D","ne_input=[2","1","1","1]","ne_kernel=[1"
"SYCL0","REPEAT","type=i32","ne=[10","5","4","3]"
"SYCL0","CONV_TRANSPOSE_1D","ne_input=[2","1","1","1]","ne_kernel=[3"
"SYCL0","SGN","type=f32","ne_a=[5","7","11","13]"
"SYCL0","GELU","type=f16","ne_a=[128","2","2","2]"
"SYCL0","RMS_NORM_BACK","type=f32","ne=[64","5","4","3]"
"SYCL0","SET_ROWS","type=iq2_xs","ne=[256","11","1","7]"
"SYCL0","SET_ROWS","type=iq2_xs","ne=[256","5","1","3]"
"SYCL0","ROPE","type=f32","ne_a=[128","32","2","1]"
"SYCL0","MUL_MAT","type_a=f16","type_b=f32","m=64","n=2","k=64"
"SYCL0","CONV_TRANSPOSE_1D","ne_input=[1","1","1","1]","ne_kernel=[1"
"SYCL0","MUL_MAT_ID","type_a=f16","type_b=f32","n_mats=16","n_used=16","b=0"
"SYCL0","MUL_MAT_ID","type_a=f16","type_b=f32","n_mats=16","n_used=16","b=1"
"SYCL0","IM2COL","type_input=f32","type_kernel=f32","dst_type=f32","ne_input=[20","20"
"SYCL0","CONV_TRANSPOSE_1D","ne_input=[1","1","1","1]","ne_kernel=[3"
"SYCL0","MUL_MAT","type_a=f16","type_b=f32","m=1056","n=1","k=67"
"SYCL0","ADD","type=f16","ne=[10","5","4","3]"
"SYCL0","SOFT_MAX_BACK","type=f32","ne=[16","16","1","1]"
"SYCL0","MUL_MAT_ID","type_a=q6_K","type_b=f32","n_mats=4","n_used=2","b=0"
"SYCL0","SUB","type=f16","ne=[1","1","8","1]"
"SYCL0","SET_ROWS","type=q5_0","ne=[256","11","1","7]"
"SYCL0","SET_ROWS","type=q5_0","ne=[256","5","1","3]"
"SYCL0","MUL","type=f32","ne=[1","1","8","1]"
"SYCL0","CPY","type_src=q8_0","type_dst=q8_0","ne=[32","2","3"
"SYCL0","CPY","type_src=q8_0","type_dst=f32","ne=[256","4","4"
"SYCL0","SOFT_MAX","type=f32","ne=[16","16","1","3]"
"SYCL0","CROSS_ENTROPY_LOSS","type=f32","ne=[10","5","4","3]"
"SYCL0","GELU_QUICK","type=f16","ne_a=[5","7","11","13]"
"SYCL0","SET","type_src=f32","type_dst=f32","ne=[6","5","4"
"SYCL0","CPY","type_src=q2_K","type_dst=q2_K","ne=[256","2","3"
"SYCL0","CPY","type_src=q2_K","type_dst=f32","ne=[256","4","4"
"SYCL0","SET_ROWS","type=q5_1","ne=[256","11","1","7]"
"SYCL0","SET_ROWS","type=q5_1","ne=[256","5","1","3]"
"SYCL0","SUB","type=f16","ne=[1","1","320","320]"
"SYCL0","SSM_SCAN","type=f32","d_state=16","head_dim=1","n_head=1024","n_group=1"
"SYCL0","SSM_SCAN","type=f32","d_state=128","head_dim=64","n_head=16","n_group=2"
"SYCL0","OUT_PROD","type_a=q4_K","type_b=f32","m=256","n=1","k=1"
"SYCL0","GELU_QUICK","type=f32","ne_a=[5","7","11","13]"
"SYCL0","DIV","type=f16","ne=[10","5","4","3]"
"SYCL0","GET_ROWS_BACK","type=iq4_nl","n=256","m=5","r=4","b=1"
"SYCL0","GET_ROWS_BACK","type=q6_K","n=256","m=5","r=4","b=1"
"SYCL0","MUL_MAT_ID","type_a=q5_1","type_b=f32","n_mats=4","n_used=2","b=0"
"SYCL0","GET_ROWS","type=iq1_m","n=256","m=5","r=4","b=1"
"SYCL0","MUL_MAT_ID","type_a=iq3_s","type_b=f32","n_mats=4","n_used=2","b=0"
"SYCL0","REGLU","type=f16","ne_a=[128","2","2","2]"
"SYCL0","SGN","type=f16","ne_a=[5","7","11","13]"
"SYCL0","GET_ROWS","type=iq1_m","n=256","m=5","r=4","b=7"
"SYCL0","CONT","type=f16","ne=[2","3","5","7]"
"SYCL0","CPY","type_src=iq1_m","type_dst=iq1_m","ne=[256","2","3"
"SYCL0","CPY","type_src=iq1_m","type_dst=f32","ne=[256","4","4"
"SYCL0","GROUP_NORM","type=f32","ne=[64","64","320","1]"
"SYCL0","LOG","type=f16","ne=[10","5","4","3]"
"SYCL0","HARDSIGMOID","type=f16","ne_a=[128","2","2","2]"
"SYCL0","CONV_2D_DW","ne_input=[17","34","9","1]","ne_kernel=[3"
"SYCL0","DIV","type=f16","ne=[1","1","320","320]"
"SYCL0","ELU","type=f16","ne_a=[128","2","2","2]"
"SYCL0","CPY","type_src=q4_1","type_dst=q4_1","ne=[32","2","3"
"SYCL0","CPY","type_src=q4_1","type_dst=f32","ne=[256","4","4"
"SYCL0","ABS","type=f32","ne_a=[128","2","2","2]"
"SYCL0","CONV_TRANSPOSE_2D","ne_input=[10","10","9","1]","ne_kernel=[3"
"SYCL0","GET_ROWS","type=q6_K","n=256","m=5","r=4","b=1"
"SYCL0","MUL_MAT","type_a=f16","type_b=f32","m=128","n=1","k=1056"
"SYCL0","SET_ROWS","type=iq1_m","ne=[256","11","1","1]"
"SYCL0","MUL_MAT","type_a=f16","type_b=f32","m=128","n=1","k=1057"
"SYCL0","MUL_MAT","type_a=q8_0","type_b=f32","m=16","n=1","k=256"
"SYCL0","GET_ROWS","type=q6_K","n=256","m=5","r=4","b=7"
"SYCL0","STEP","type=f32","ne_a=[128","2","2","2]"
"SYCL0","GET_ROWS_BACK","type=q5_1","n=256","m=5","r=4","b=1"
"SYCL0","IM2COL","type_input=f32","type_kernel=f32","dst_type=f32","ne_input=[20","2"
"SYCL0","MUL_MAT","type_a=q5_0","type_b=f32","m=16","n=1","k=256"
"SYCL0","IM2COL","type_input=f32","type_kernel=f16","dst_type=f16","ne_input=[5","5"
"SYCL0","FLASH_ATTN_EXT","hsk=64","hsv=64","nh=4","nr23=[1","1]"
"SYCL0","MUL_MAT","type_a=q4_0","type_b=f32","m=16","n=1","k=256"
"SYCL0","POOL_2D","pool_type=max","type_input=f32","ne_input=[10","10","3"
"SYCL0","GELU_QUICK","type=f16","ne_a=[128","2","2","2]"
"SYCL0","MUL_MAT","type_a=bf16","type_b=f32","m=1056","n=1","k=128"
"SYCL0","MUL_MAT","type_a=bf16","type_b=f32","m=1056","n=1","k=129"
"SYCL0","DUP","type=i32","ne=[10","10","20","1]"
"SYCL0","CONCAT","type=f32","ne_a=[11","12","13","14]"
"SYCL0","NEG","type=f16","ne_a=[5","7","11","13]"
"SYCL0","GEGLU","type=f16","ne_a=[128","2","2","2]"
"SYCL0","MUL_MAT","type_a=q5_0","type_b=f32","m=16","n=1","k=32"
"SYCL0","SWIGLU","type=f32","ne_a=[128","2","2","2]"
"SYCL0","GET_ROWS","type=iq2_xs","n=256","m=5","r=4","b=1"
"SYCL0","TANH","type=f16","ne_a=[5","7","11","13]"
"SYCL0","SET_ROWS","type=iq4_xs","ne=[256","11","1","1]"
"SYCL0","GELU","type=f32","ne_a=[5","7","11","13]"
"SYCL0","MUL_MAT","type_a=q4_1","type_b=f32","m=16","n=1","k=32"
"SYCL0","GET_ROWS","type=iq2_xs","n=256","m=5","r=4","b=7"
"SYCL0","GET_ROWS","type=q5_1","n=256","m=5","r=4","b=1"
"SYCL0","RELU","type=f16","ne_a=[5","7","11","13]"
"SYCL0","SET_ROWS","type=iq1_s","ne=[256","11","1","1]"
"SYCL0","SILU_BACK","type=f32","ne=[64","5","4","3]"
"SYCL0","CPY","type_src=q5_0","type_dst=q5_0","ne=[32","2","3"
"SYCL0","CPY","type_src=q5_0","type_dst=f32","ne=[256","4","4"
"SYCL0","GET_ROWS","type=q5_1","n=256","m=5","r=4","b=7"
"SYCL0","OUT_PROD","type_a=q4_0","type_b=f32","m=256","n=1","k=16"
"SYCL0","MUL_MAT","type_a=q4_K","type_b=f32","m=16","n=1","k=1024"
"SYCL0","NEG","type=f32","ne_a=[5","7","11","13]"
"SYCL0","SIGMOID","type=f16","ne_a=[128","2","2","2]"
"SYCL0","SET_ROWS","type=q3_K","ne=[256","11","1","1]"
"SYCL0","DIAG_MASK_INF","type=f32","ne=[10","10","3","2]"
"SYCL0","MUL_MAT","type_a=f32","type_b=f32","m=16","n=1","k=256"
"SYCL0","MUL_MAT_ID","type_a=bf16","type_b=f32","n_mats=4","n_used=2","b=0"
"SYCL0","TANH","type=f32","ne_a=[5","7","11","13]"
"SYCL0","MUL_MAT_ID","type_a=q4_1","type_b=f32","n_mats=4","n_used=1","b=0"
"SYCL0","SET_ROWS","type=iq3_s","ne=[256","11","1","7]"
"SYCL0","MUL_MAT_ID","type_a=q4_1","type_b=f32","n_mats=4","n_used=1","b=1"
"SYCL0","SET_ROWS","type=iq3_s","ne=[256","5","1","3]"
"SYCL0","RELU","type=f32","ne_a=[5","7","11","13]"
"SYCL0","FLASH_ATTN_EXT","hsk=128","hsv=128","nh=4","nr23=[1","1]"
"SYCL0","GELU","type=f32","ne_a=[128","2","2","2]"
"SYCL0","IM2COL","type_input=f32","type_kernel=f32","dst_type=f32","ne_input=[3000","128"
"SYCL0","SET_ROWS","type=q5_K","ne=[256","11","1","7]"
"SYCL0","SET_ROWS","type=q5_K","ne=[256","5","1","3]"
"SYCL0","ADD","type=f32","ne=[10","5","4","3]"
"SYCL0","ARGMAX","type=f32","ne=[32","1","1","1]"
"SYCL0","MUL_MAT","type_a=q8_0","type_b=f32","m=16","n=1","k=32"
"SYCL0","ACC","type=f32","ne_a=[256","17","1","1]"
"SYCL0","COS","type=f32","ne=[10","2","2","2]"
"SYCL0","SUB","type=f32","ne=[1","1","8","1]"
"SYCL0","CPY","type_src=iq3_xxs","type_dst=iq3_xxs","ne=[256","2","3"
"SYCL0","CPY","type_src=iq3_xxs","type_dst=f32","ne=[256","4","4"
"SYCL0","GEGLU_QUICK","type=f16","ne_a=[128","2","2","2]"
"SYCL0","ARGSORT","type=f32","ne=[8","1","1","1]"
"SYCL0","CPY","type_src=iq2_s","type_dst=iq2_s","ne=[256","2","3"
"SYCL0","CPY","type_src=iq2_s","type_dst=f32","ne=[256","4","4"
"SYCL0","MUL_MAT","type_a=iq2_xxs","type_b=f32","m=16","n=1","k=256"
"SYCL0","CPY","type_src=q4_K","type_dst=q4_K","ne=[256","2","3"
"SYCL0","CPY","type_src=q4_K","type_dst=f32","ne=[256","4","4"
"SYCL0","GET_ROWS","type=iq3_xxs","n=256","m=5","r=4","b=1"
"SYCL0","GET_ROWS_BACK","type=iq3_s","n=256","m=5","r=4","b=1"
"SYCL0","OUT_PROD","type_a=q4_0","type_b=f32","m=256","n=1","k=1"
"SYCL0","GET_ROWS","type=iq2_xxs","n=256","m=5","r=4","b=1"
"SYCL0","GET_ROWS","type=iq3_xxs","n=256","m=5","r=4","b=7"
"SYCL0","MUL_MAT_ID","type_a=q5_K","type_b=f32","n_mats=4","n_used=2","b=0"
"SYCL0","CROSS_ENTROPY_LOSS_BACK","type=f32","ne=[30000","1","1","1]"
"SYCL0","GET_ROWS","type=iq2_xxs","n=256","m=5","r=4","b=7"
"SYCL0","GET_ROWS_BACK","type=bf16","n=256","m=5","r=4","b=1"
"SYCL0","TANH","type=f16","ne_a=[128","2","2","2]"
"SYCL0","GELU","type=f16","ne_a=[5","7","11","13]"
"SYCL0","GET_ROWS","type=i32","n=256","m=5","r=4","b=1"
"SYCL0","SET_ROWS","type=q4_0","ne=[256","11","1","7]"
"SYCL0","SET_ROWS","type=q4_0","ne=[256","5","1","3]"
"SYCL0","GET_ROWS","type=i32","n=256","m=5","r=4","b=7"
"SYCL0","OUT_PROD","type_a=iq2_xxs","type_b=f32","m=256","n=1","k=16"
"SYCL0","SILU","type=f32","ne_a=[128","2","2","2]"
"SYCL0","MUL_MAT_ID","type_a=iq4_xs","type_b=f32","n_mats=4","n_used=2","b=0"
"SYCL0","SET_ROWS","type=iq2_xxs","ne=[256","11","1","1]"
"SYCL0","CPY","type_src=iq4_nl","type_dst=iq4_nl","ne=[32","2","3"
"SYCL0","CPY","type_src=iq4_nl","type_dst=f32","ne=[256","4","4"
"SYCL0","CONT","type=f32","ne=[2","3","5","7]"
"SYCL0","CPY","type_src=f16","type_dst=f16","ne=[1","2","3"
"SYCL0","CPY","type_src=f16","type_dst=f32","ne=[256","4","4"
"SYCL0","GELU_ERF","type=f16","ne_a=[128","2","2","2]"
"SYCL0","SET_ROWS","type=q4_1","ne=[256","11","1","7]"
"SYCL0","SET_ROWS","type=q4_1","ne=[256","5","1","3]"
"SYCL0","ROLL","shift0=3","shift1=-2","shift3=1","shift4=-1","support"
"SYCL0","LOG","type=f32","ne=[10","5","4","3]"
"SYCL0","GET_ROWS","type=bf16","n=256","m=5","r=4","b=1"
"SYCL0","GET_ROWS","type=q4_1","n=256","m=5","r=4","b=1"
"SYCL0","MUL_MAT","type_a=q4_1","type_b=f32","m=16","n=1","k=1024"
"SYCL0","SET_ROWS","type=bf16","ne=[256","11","1","7]"
"SYCL0","SET_ROWS","type=bf16","ne=[256","5","1","3]"
"SYCL0","SET_ROWS","type=f16","ne=[256","11","1","1]"
"SYCL0","GET_ROWS","type=bf16","n=256","m=5","r=4","b=7"
"SYCL0","SET_ROWS","type=iq4_nl","ne=[256","11","1","7]"
"SYCL0","GET_ROWS","type=q4_1","n=256","m=5","r=4","b=7"
"SYCL0","HARDSIGMOID","type=f32","ne_a=[128","2","2","2]"
"SYCL0","SET_ROWS","type=iq4_nl","ne=[256","5","1","3]"
"SYCL0","GET_ROWS_BACK","type=q5_K","n=256","m=5","r=4","b=1"
"SYCL0","SET_ROWS","type=q8_0","ne=[256","11","1","7]"
"SYCL0","SET_ROWS","type=q8_0","ne=[256","5","1","3]"
"SYCL0","ELU","type=f32","ne_a=[128","2","2","2]"
"SYCL0","CONV_2D_DW","ne_input=[32","8","64","1]","ne_kernel=[3"
"SYCL0","REPEAT","type=i16","ne=[10","5","4","1]"
"SYCL0","MUL_MAT_ID","type_a=iq2_s","type_b=f32","n_mats=4","n_used=2","b=0"
"SYCL0","SQR","type=f16","ne=[10","5","4","3]"
"SYCL0","GET_ROWS","type=iq3_s","n=256","m=5","r=4","b=1"
"SYCL0","NEG","type=f16","ne_a=[128","2","2","2]"
"SYCL0","MUL","type=f16","ne=[10","5","4","3]"
"SYCL0","REPEAT","type=f32","ne=[10","5","4","1]"
"SYCL0","GET_ROWS","type=iq3_s","n=256","m=5","r=4","b=7"
"SYCL0","FLASH_ATTN_EXT","hsk=576","hsv=512","nh=4","nr23=[1","1]"
"SYCL0","FLASH_ATTN_EXT","hsk=80","hsv=80","nh=4","nr23=[1","1]"
"SYCL0","MUL_MAT","type_a=iq2_xs","type_b=f32","m=16","n=1","k=256"
"SYCL0","GET_ROWS","type=q5_K","n=256","m=5","r=4","b=1"
"SYCL0","ADD","type=f16","ne=[1","1","320","320]"
"SYCL0","GELU_QUICK","type=f32","ne_a=[128","2","2","2]"
"SYCL0","GET_ROWS","type=q5_K","n=256","m=5","r=4","b=7"
"SYCL0","GET_ROWS_BACK","type=q4_1","n=256","m=5","r=4","b=1"
"SYCL0","GEGLU","type=f32","ne_a=[128","2","2","2]"
"SYCL0","DIV","type=f32","ne=[10","5","4","3]"
"SYCL0","SWIGLU","type=f16","ne_a=[5","7","11","13]"
"SYCL0","UPSCALE","type=f32","ne=[2","5","7","11]"
"SYCL0","MUL_MAT","type_a=f16","type_b=f32","m=16","n=1","k=1024"
"SYCL0","MUL_MAT","type_a=bf16","type_b=f32","m=128","n=1","k=1056"
"SYCL0","MUL_MAT","type_a=bf16","type_b=f32","m=128","n=1","k=1057"
"SYCL0","ARGSORT","type=f32","ne=[16","10","10","10]"
"SYCL0","CONV_TRANSPOSE_1D","ne_input=[1","1","1","1]","ne_kernel=[1337"
"SYCL0","SIGMOID","type=f32","ne_a=[128","2","2","2]"
"SYCL0","REGLU","type=f32","ne_a=[128","2","2","2]"
"SYCL0","SWIGLU","type=f32","ne_a=[5","7","11","13]"
"SYCL0","RWKV_WKV6","type=f32","head_count=32","head_size=64","n_seq_tokens=1","n_seqs=1"
"SYCL0","RWKV_WKV6","type=f32","head_count=32","head_size=64","n_seq_tokens=32","n_seqs=4"
"SYCL0","CPY","type_src=iq4_xs","type_dst=iq4_xs","ne=[256","2","3"
"SYCL0","CPY","type_src=iq4_xs","type_dst=f32","ne=[256","4","4"
"SYCL0","MUL_MAT","type_a=f16","type_b=f32","m=1056","n=1","k=193"
"SYCL0","GEGLU_QUICK","type=f32","ne_a=[128","2","2","2]"
"SYCL0","MUL_MAT","type_a=f32","type_b=f32","m=128","n=1","k=1056"
"SYCL0","MUL_MAT","type_a=f32","type_b=f32","m=128","n=1","k=1057"
"SYCL0","MUL_MAT_ID","type_a=q5_0","type_b=f32","n_mats=4","n_used=2","b=0"
"SYCL0","SET_ROWS","type=iq3_xxs","ne=[256","11","1","7]"
"SYCL0","SET_ROWS","type=iq3_xxs","ne=[256","5","1","3]"
"SYCL0","SET_ROWS","type=q2_K","ne=[256","11","1","1]"
"SYCL0","SET_ROWS","type=iq2_s","ne=[256","11","1","7]"
"SYCL0","SET_ROWS","type=iq2_s","ne=[256","5","1","3]"
"SYCL0","SIN","type=f16","ne=[10","2","2","2]"
"SYCL0","MUL_MAT_ID","type_a=iq4_nl","type_b=f32","n_mats=4","n_used=2","b=0"
"SYCL0","CPY","type_src=iq2_xxs","type_dst=iq2_xxs","ne=[256","2","3"
"SYCL0","GEGLU_ERF","type=f16","ne_a=[128","2","2","2]"
"SYCL0","CPY","type_src=iq2_xxs","type_dst=f32","ne=[256","4","4"
"SYCL0","TANH","type=f32","ne_a=[128","2","2","2]"
"SYCL0","SET_ROWS","type=q4_K","ne=[256","11","1","7]"
"SYCL0","SET_ROWS","type=q4_K","ne=[256","5","1","3]"
"SYCL0","OUT_PROD","type_a=q8_0","type_b=f32","m=256","n=1","k=1"
"SYCL0","GET_ROWS","type=iq4_xs","n=256","m=5","r=4","b=1"
"SYCL0","GET_ROWS_BACK","type=iq2_s","n=256","m=5","r=4","b=1"
"SYCL0","SET_ROWS","type=q6_K","ne=[256","11","1","1]"
"SYCL0","MUL_MAT_ID","type_a=q4_K","type_b=f32","n_mats=4","n_used=1","b=0"
"SYCL0","GET_ROWS","type=iq4_xs","n=256","m=5","r=4","b=7"
"SYCL0","MUL_MAT_ID","type_a=q4_K","type_b=f32","n_mats=4","n_used=1","b=1"
"SYCL0","MUL_MAT_ID","type_a=iq3_xxs","type_b=f32","n_mats=4","n_used=2","b=0"
"SYCL0","MUL_MAT","type_a=f16","type_b=f32","m=16","n=1","k=4"
"SYCL0","MUL_MAT","type_a=iq4_nl","type_b=f32","m=16","n=1","k=256"
"SYCL0","LEAKY_RELU","type=f32","ne_a=[10","5","4","3]"
"SYCL0","MUL_MAT_ID","type_a=iq2_xxs","type_b=f32","n_mats=4","n_used=1","b=0"
"SYCL0","GET_ROWS_BACK","type=q5_0","n=256","m=5","r=4","b=1"
"SYCL0","MUL_MAT_ID","type_a=iq2_xxs","type_b=f32","n_mats=4","n_used=1","b=1"
"SYCL0","MUL_MAT","type_a=bf16","type_b=f32","m=16","n=1","k=256"
"SYCL0","CONV_TRANSPOSE_1D","ne_input=[197","32","1","1]","ne_kernel=[16"
"SYCL0","FLASH_ATTN_EXT","hsk=192","hsv=128","nh=4","nr23=[1","1]"
"SYCL0","CONT","type=bf16","ne=[2","3","5","7]"
"SYCL0","SET_ROWS","type=f32","ne=[256","11","1","1]"
"SYCL0","OUT_PROD","type_a=q4_K","type_b=f32","m=256","n=1","k=16"
"SYCL0","MUL_MAT","type_a=f32","type_b=f32","m=16","n=1","k=4"
"SYCL0","REPEAT","type=i32","ne=[10","5","4","1]"
"SYCL0","MUL_MAT","type_a=q5_K","type_b=f32","m=16","n=1","k=256"
"SYCL0","HARDSWISH","type=f16","ne_a=[5","7","11","13]"
"SYCL0","SQRT","type=f16","ne=[10","3","3","2]"
"SYCL0","SQR","type=f32","ne=[10","5","4","3]"
"SYCL0","MUL_MAT","type_a=q4_K","type_b=f32","m=16","n=1","k=256"
"SYCL0","COUNT_EQUAL","type=f32","ne=[4","500","1","1]"
"SYCL0","SET_ROWS","type=iq2_xs","ne=[256","11","1","1]"
"SYCL0","GEGLU_QUICK","type=f16","ne_a=[5","7","11","13]"
"SYCL0","MUL_MAT","type_a=q3_K","type_b=f32","m=16","n=1","k=256"
"SYCL0","NEG","type=f32","ne_a=[128","2","2","2]"
"SYCL0","ADD","type=f16","ne=[1","1","8","1]"
"SYCL0","SUB","type=f16","ne=[10","5","4","3]"
"SYCL0","MUL_MAT","type_a=q2_K","type_b=f32","m=16","n=1","k=256"
"SYCL0","MUL","type=f32","ne=[10","5","4","3]"
"SYCL0","SET_ROWS","type=q5_0","ne=[256","11","1","1]"
"SYCL0","GET_ROWS","type=q5_0","n=256","m=5","r=4","b=1"
"SYCL0","GET_ROWS_BACK","type=q4_K","n=256","m=5","r=4","b=1"
